Units,Fall,Winter,Spring,Summer,URL,Title,Course,Program
4,N/A,N/A,UCSB,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=42699790,MGMNT X411.5 - Comparative Global Sport Systems,MGMNT X411.5 - Comparative Global Sport Systems,"SportsManagement#sub2, core1#applied, core2#applied, sportsManagement#core2"
4,N/A,UCSB,UCSB,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=42699811,MGMNT X411.6 - Sports Management Capstone,MGMNT X411.6 - Sports Management Capstone,"SportsManagement#sub3, sportsManagement#final"
4,N/A,N/A,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=42699829,MGMNT X411.7 - Sports Management Internship,MGMNT X411.7 - Sports Management Internship,"SportsManagement#sub3, sportsManagement#final"
4,UCSB,UCSB,Hybrid,Online (live),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=41907568,MGMNT X440 - AI Essentials for Innovation,MGMNT X440 - AI Essentials for Innovation,"SportsManagement, appliedAiandInnovationProfessional#main, appliedAiandInnovationDegree#main, appliedAiandInnovationInternational#main"
4,UCSB,UCSB,Hybrid,Online (live),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=41908559,MGMNT X441 - AI Applications for Business Impact,MGMNT X441 - AI Applications for Business Impact,"SportsManagement, appliedAiandInnovationProfessional#main, appliedAiandInnovationDegree#main, appliedAiandInnovationInternational#main"
4,UCSB,UCSB,Hybrid,Online (live),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=41908674,MGMNT X442 - Leading AI-Driven Change,MGMNT X442 - Leading AI-Driven Change,"SportsManagement, appliedAiandInnovationProfessional#main, appliedAiandInnovationDegree#main, appliedAiandInnovationInternational#main"
4,HyFlex,Online (self-paced),Hybrid,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=34648348,MGMNT X450 - Business Strategy and Decision Making,MGMNT X450 - Business Strategy and Decision Making,"General-Advanced-Business#marketing, agileProjectManagementInt#sub, humanResourceManagement#sub, foudationsAgileProjectManagement#sub, projectManagementCertificate#sub, strategyDecisionMaking#main, businessAdministration#main, appliedBusinessEssentials#main, busAdminManagement#main1"
4,Online (self-paced),UCSB,Hybrid,Online (blended),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=31113414,MGMNT X477 - Developing a Digital Marketing Strategy,MGMNT X477 - Developing a Digital Marketing Strategy,"General-Advanced-Business#marketing, entrepreneurship#sub1, appliedBusinessEssentials#sub, globalMarketing#sub, foundationsDigitalMarketing#main"
4,N/A,Online (self-paced),Hybrid,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=33120735,MGMNT X477.1 - Web Analytics for Marketing,MGMNT X477.1 - Web Analytics for Marketing,"General-Advanced-Business#marketing, appliedBusinessEssentials#sub, globalMarketing#sub, foundationsDigitalMarketing#main"
4,UCSB,UCSB,Hybrid,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=31148575,MGMNT X479 - Business and Personal Branding,MGMNT X479 - Business and Personal Branding,"General-Advanced-Business#marketing, businessAdministration#sub2, businessAdministration#sub3, appliedBusinessEssentials#sub, globalMarketing#main, businessLeadership#main, busAdminManagement#marketing, busAdminManagement#leadership"
4,Hybrid,N/A,Hybrid,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=34288803,MGMNT X482 - Public Relations,MGMNT X482 - Public Relations,"General-Advanced-Business#marketing, strategyDecisionMaking#sub, businessAdministration#sub2, appliedBusinessEssentials#sub, globalMarketing#sub, businessLeadership#sub, busAdminManagement#marketing"
2,UCSB,Online (live),N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=40884108,TMP X101 - Introduction to Technology Management,TMP X101 - Introduction to Technology Management,tmp#main
4,UCSB,UCSB,UCSB,N/A,https://tmp.ucsb.edu/academics/undergraduate-certificate-program,TMP 120 - Fundamentals of Business Strategy,TMP 120 - Fundamentals of Business Strategy,tmp#sub2
4,UCSB,UCSB,UCSB,N/A,https://tmp.ucsb.edu/academics/undergraduate-certificate-program,TMP 122 - Entrepreneurship,TMP 122 - Entrepreneurship,tmp#sub2
4,UCSB,UCSB,UCSB,N/A,https://tmp.ucsb.edu/academics/undergraduate-certificate-program,TMP 124 - Principles of Marketing,TMP 124 - Principles of Marketing,tmp#sub2
4,UCSB,UCSB,UCSB,N/A,https://tmp.ucsb.edu/academics/undergraduate-certificate-program,TMP 125 - Principles of Business Finance,TMP 125 - Principles of Business Finance,tmp#sub2
4,UCSB,UCSB,UCSB,N/A,https://tmp.ucsb.edu/academics/undergraduate-certificate-program,TMP 127 - Understanding and Managing Technology Organizations,TMP 127 - Understanding and Managing Technology Organizations,tmp#sub2
4,UCSB,UCSB,UCSB,N/A,https://tmp.ucsb.edu/academics/undergraduate-certificate-program,TMP 135 - New Product Development,TMP 135 - New Product Development,tmp#sub2
4,UCSB,UCSB,UCSB,N/A,https://tmp.ucsb.edu/academics/undergraduate-certificate-program,TMP 144 - Market Research,TMP 144 - Market Research,tmp#sub2
4,UCSB,UCSB,UCSB,N/A,https://tmp.ucsb.edu/academics/undergraduate-certificate-program,TMP 149 - Creating a Market-Tested Business Model,TMP 149 - Creating a Market-Tested Business Model,tmp#sub2
4,UCSB,Online (self-paced),Hybrid,Hybrid,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=31148667,TMP X450 - Introduction to Project Management,TMP X450 - Introduction to Project Management,"General-Advanced-Business#project, agileProjectManagementInt#main, foudationsAgileProjectManagement#main, projectManagementCertificate#main, leadershipCertifcate#sub, businessAdministration#sub3, businessLeadership#sub, busAdminManagement#leadership"
4,N/A,UCSB,N/A,Online (live),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=31148761,TMP X451 - Project Planning and Procurement,TMP X451 - Project Planning and Procurement,"General-Advanced-Business#project, agileProjectManagementInt#main, foudationsAgileProjectManagement#sub, projectManagementCertificate#main, agileProjectManagement#main"
4,Online (blended),N/A,Hybrid,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=31148763,TMP X452 - Project Execution and Risk Management,TMP X452 - Project Execution and Risk Management,"General-Advanced-Business#project, projectManagementCertificate#main"
4,UCSB,UCSB,Hybrid,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=33293213,TMP X454 - Agile Approaches to Project Management,TMP X454 - Agile Approaches to Project Management,"General-Advanced-Business#project, agileProjectManagementInt#main, foudationsAgileProjectManagement#main, projectManagementCertificate#sub, entrepreneurship#sub2"
